name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cl_minmax
Follow You Follow Me - Remastered 2007,Genesis,0.531,0.747,-9.368,0.0344,0.146,0.0722,0.07,0.761,93.559,2
"December, 1963 (Oh, What a Night)",Frankie Valli & The Four Seasons,0.729,0.6,-9.527,0.0255,0.0663,7.86e-06,0.0382,0.964,104.414,2
Moondance - 2013 Remaster,Van Morrison,0.606,0.282,-12.207,0.0339,0.501,8.3e-06,0.152,0.563,67.409,3
She's Always a Woman,Billy Joel,0.292,0.324,-11.996,0.0346,0.797,0.000473,0.12,0.384,176.631,3
Solsbury Hill,Peter Gabriel,0.678,0.631,-8.624,0.0301,0.355,0.000268,0.376,0.463,102.378,0
Don't Go Breaking My Heart,Elton John,0.729,0.844,-8.824,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,2
The Air That I Breathe - 2008 Remaster,The Hollies,0.279,0.473,-8.375,0.0309,0.242,0.00164,0.158,0.246,167.792,0
Crazy Little Thing Called Love - Remastered 2011,Queen,0.599,0.761,-6.887,0.0421,0.713,4.74e-06,0.349,0.712,77.015,2
Bridge Over Troubled Water,Simon & Garfunkel,0.149,0.206,-13.888,0.0323,0.822,0.000649,0.115,0.264,79.764,3
Big Yellow Taxi,Joni Mitchell,0.611,0.47,-9.135,0.0356,0.579,0.0,0.581,0.97,85.527,2
Take It Easy - 2013 Remaster,Eagles,0.575,0.67,-10.39,0.0318,0.343,4.95e-06,0.129,0.74,139.191,2
"Knowing Me, Knowing You",ABBA,0.55,0.741,-7.109,0.0299,0.0426,3.72e-06,0.235,0.903,107.327,2
What a Fool Believes,The Doobie Brothers,0.758,0.378,-15.308,0.0449,0.284,0.0,0.049,0.985,120.736,2
Just the Way You Are,Billy Joel,0.589,0.453,-8.912,0.0397,0.703,2.54e-05,0.134,0.513,139.148,3
Your Song,Elton John,0.554,0.315,-11.028,0.0298,0.828,5.53e-06,0.101,0.325,128.157,3
50 Ways to Leave Your Lover,Paul Simon,0.815,0.372,-12.814,0.0752,0.166,0.000116,0.0767,0.293,101.684,0
Livin' Thing,Electric Light Orchestra,0.549,0.651,-7.097,0.0323,0.583,0.0,0.121,0.368,122.818,3
Everything I Own,Bread,0.365,0.338,-13.406,0.0322,0.735,0.0,0.104,0.446,79.241,3
I Am...I Said - Single Version,Neil Diamond,0.246,0.375,-14.409,0.0272,0.141,4.97e-06,0.109,0.511,90.53,0
Me and Bobby McGee,Janis Joplin,0.43,0.463,-10.96,0.0442,0.303,5.84e-05,0.152,0.66,93.405,2
Daniel,Elton John,0.688,0.477,-11.945,0.029,0.38,4.93e-05,0.0864,0.897,132.071,2
Fire and Rain,James Taylor,0.611,0.35,-14.48,0.0356,0.499,7.84e-06,0.0844,0.36,76.064,3
Piano Man,Billy Joel,0.331,0.55,-6.483,0.0272,0.605,3.96e-06,0.192,0.429,177.734,3
It's Too Late,Carole King,0.698,0.446,-12.719,0.0284,0.494,0.0054,0.177,0.788,104.265,2
Annie's Song,John Denver,0.325,0.308,-11.503,0.0297,0.92,0.00603,0.441,0.447,147.117,3
When You're In Love With A Beautiful Woman,Dr. Hook,0.7,0.586,-11.658,0.0745,0.00544,0.00128,0.124,0.427,113.567,0
Cracklin' Rosie - Single Version,Neil Diamond,0.562,0.503,-14.836,0.0335,0.319,0.0,0.163,0.846,127.827,2
Goodbye Yellow Brick Road - Remastered 2014,Elton John,0.559,0.473,-7.712,0.0279,0.446,0.00141,0.154,0.397,121.227,3
You Are The Sunshine Of My Life,Stevie Wonder,0.519,0.46,-14.53,0.0688,0.823,5.97e-05,0.243,0.675,132.082,3
